id,grid
502309,CQ103
502429,CI101
503460,AL126
503529,CE77
503585,CP92
503722,CQ82
503790,CD75
504322,CE77
504362,CM95
504394,CN51
504437,CI79
505029,CK78
505231,CR59
505315,DD90
506121,CJ77
506527,DA66
506571,CK77
506575,DC33
507393,CT92
509989,CO108
510218,CK53
510454,CJ73
511436,CO82
511733,DA84
511960,CI76
512209,CG87
512210,CR95
512775,CV68
513343,CN95
513688,CJ92
514457,CV92
514548,CY88
515392,CE71
516452,CL92
516461,CF69
516643,CQ80
516791,CK107
517626,CU81
517654,DF86
518566,CP61
518576,CT91
518960,CT40
519310,DC71
521018,CO89
521038,CV41
521522,CI99
521672,CR82
521806,DQ77
522081,CG71
523123,CI102
524111,CJ76
525120,CB70
525293,CZ40
525388,CQ76
525412,CF79
525523,CV48
526520,CM95
526532,CU48
526923,CI72
526942,CT59
527076,CO64
528485,CH101
530247,CJ57
530431,CS48
530576,CK58
530632,CS98
531091,DB67
531208,CN84
531258,CE76
531455,CO101
532288,CE76
532749,CQ81
533168,CG79
533506,CJ77
533625,CQ91
533927,CF71
534897,CE71
535095,CN96
535352,CM53
536578,DC87
538344,CJ76
538590,DB66
539160,CU39
539350,CG65
540057,CR42
540489,CF80
541725,CP80
542054,CJ77
542203,CH64
543792,DB84
544039,CD107
544131,CE76
544331,CS60
545261,CN92
545651,CS102
546383,EC67
546504,CG90
546573,CA85
547830,CP106
548133,CN91
548184,CR78
549873,CJ78
550288,CS58
550653,CJ102
550777,CN52
550858,CG70
552141,CH81
552519,CU97
552639,CT44
553516,CM94
553565,CZ26
553862,CK95
554165,CI94
555206,CJ77
557487,CT79
559511,CV77
560078,CK79
560406,CG93
563442,CE74
563496,CE74
564049,CN50
564184,CD73
564447,CH66
564751,CO50
565814,CV93
566712,CK77
566911,CV93
567195,CV93
568661,DA84
568684,CZ86
568743,CH78
570218,CK93
570750,CU97
571564,CS96
573612,CR46
573671,CS92
573795,CS105
573870,CL57
575061,CQ81
576227,CR42
576426,CH64
576916,CM51
577324,DE62
577703,CJ76
577824,CS95
578267,CG82
578941,CJ99
579716,CJ100
580323,CT55
581180,CO94
581421,CQ75
581542,EH124
582272,CS78
582372,CZ61
583337,CG95
583352,CK79
584122,CF61
585369,CE77
585491,CO94
585937,CQ76
586847,CU96
587519,CR83
587554,CD76
587641,CQ80
587698,CM122
587740,CD78
588677,CR84
590903,CS48
591135,CF78
591565,CC81
591710,CE89
592785,CQ92
592831,CQ90
592853,DE87
593000,CT61
593292,CK68
593320,DA27
594020,DA28
594036,CD75
594640,CE72
594732,CF74
595321,CT82
595604,CS38
596448,CG90
597544,CZ72
597624,CK96
598612,CR79
599595,CK56
599847,CN92
600286,CQ86
600775,CL94
600877,CJ93
602070,CS79
602142,CM95
602250,FA90
602453,CJ99
602888,CQ62
606269,CG64
607735,CH93
607781,CT54
607891,CJ60
609213,CO97
609559,DK74
609983,DA87
610118,CZ85
610596,CF97
611009,CK78
611408,FA90
612936,CM54
613528,CT44
613556,CB81
613818,DO93
614269,CW84
616585,CP80
618836,CQ98
618916,CN94
619122,CR82
619471,CU93
620214,CZ64
621430,CF62
622410,CP99
623423,CJ71
623747,CK71
624222,CR49
625197,CV82
625365,CP102
627432,CI75
627949,CV82
628078,CQ49
628227,CG66
629315,CM91
629770,CJ75
629774,CI76
629855,CU82
629949,CS58
630034,CQ93
633276,CT70
633950,CD78
634353,CI60
635114,CD77
635282,CO81
635662,CL105
636391,CC74
637228,CZ87
637504,CZ74
637716,CG79
638894,CP96
638898,CP51
639199,Q157
639781,CH78
640589,CD74
640691,CG92
640990,CX52
641768,CE64
642682,CS89
643591,CL56
643948,DB25
644464,CO80
644575,BH111
644833,CS42
644869,CU42
645075,CG64
645693,DB66
645922,CI70
645942,CG79
646147,CR41
646391,CQ89
646458,CN83
647413,CN95
647520,CG78
647580,CI76
648047,CJ74
648246,CN83
649561,CG68
649903,CW97
651375,CF78
651475,CI75
651648,CO93
652371,CM66
652466,CJ72
652515,CI62
652648,CK72
652691,CI62
654005,CK57
654232,CJ79
654612,CH62
655230,CH81
655472,CR96
655783,CN66
656281,CJ107
657005,CD73
657198,CD91
657217,CR59
657727,CJ57
658008,CR91
658366,CI75
658515,CU50
658932,DG87
659880,CT85
659952,CF64
660016,CS86
660036,CM55
661814,CE72
663608,CJ72
664047,CI60
665394,CH66
666220,CJ77
666315,CO83
666613,CO83
667375,CD72
667549,CQ106
668400,CY28
668691,DA91
669633,CI95
669831,CS52
670767,DA92
671496,CQ98
671633,CS60
672724,CM93
673248,CQ92
673760,DF114
674692,DH85
675793,CD75
676257,CK72
676295,ER97
679633,DB58
679769,CY60
680104,CG80
680225,DB84
680998,CU48
681518,CO50
681805,AM113
682122,CZ117
682155,CS53
683084,CE68
683681,CD74
683743,CR71
683821,CQ49
684808,CK69
684991,CK69
685435,DI96
686696,CR58
688652,CO89
689329,DH66
689900,CN49
690349,CI100
690516,CL92
690553,CU85
690603,CS95
690675,CR82
690849,CJ77
690934,CK93
690960,DD94
692137,CP82
692567,DB86
693597,CJ60
695002,CJ77
695216,CM90
695297,CT90
695465,CJ78
696593,CK97
697499,CK60
697923,CG64
698094,CK64
698132,CW90
698162,DA26
698298,CF79
698327,CD72
698514,CD76
698882,CF91
699348,CN95
699472,CQ84
700530,CD77
700916,CU91
701227,CL88
702213,CT84
702440,CJ96
702551,CL52
703745,CI79
703971,CR102
704838,DG70
705749,BF123
705997,CG101
706347,CR81
707396,CK78
707736,CS48
708374,CP51
708637,DK69
710015,CF111
710243,CG80
710283,CR78
710284,CF72
711635,CI76
712136,BF123
712260,CG93
713538,CP93
713891,CS82
714028,DG70
714049,DG70
714075,CP92
714939,CC73
715102,CS83
715270,DO29
716169,CM91
718761,CT84
719329,CO96
719914,CV41
720274,CR96
720394,CN50
721719,CU48
721762,CI78
722264,CQ96
722451,CR42
722464,CP92
723507,CM53
723523,CP61
723560,CI81
723709,CQ49
725270,CG72
725509,CU98
726422,CO95
726465,CQ80
726692,CZ64
727512,CR73
727547,CR73
