ID,cnt_shared,price_shared
135706,20,123.45
136493,2,225
138216,25,81.76
139624,30,72.63333333
140133,48,77.41666667
140425,14,73.21428571
140973,4,66.25
141154,5,110.8
141335,9,88.44444444
141890,45,136.4
141984,45,119.0666667
142069,53,146.6603774
144087,38,89.57894737
144148,52,143.6538462
145064,38,93.05263158
145188,10,110.6
145994,11,134.5454545
146754,3,59
147586,14,92.85714286
148201,16,129.1875
148259,59,84.76271186
148825,40,87.15
149287,7,91.28571429
149777,1,29
150804,53,100.3962264
151199,5,54.6
151478,47,82.06382979
152071,10,109
152078,40,101.875
152259,21,79.28571429
152263,25,113.6
152520,3,40.33333333
153405,23,80.2173913
153780,31,106.3870968
154934,57,61.63157895
155296,33,89.39393939
157673,19,133
158061,36,74.77777778
158176,48,77.41666667
158290,11,70.90909091
158913,21,99.61904762
158955,71,70.45070423
159749,15,81.13333333
159815,15,81.13333333
159913,20,123.45
160609,8,115.375
160994,13,108.2307692
161366,6,61.83333333
161394,59,84.76271186
161996,23,64.7826087
162493,34,79.76470588
162508,21,74.28571429
163627,27,97.03703704
163809,38,89.57894737
163814,46,112.4782609
163836,13,63.15384615
164989,45,119.0666667
165080,11,81
165461,7,102.2857143
165824,14,45.28571429
166006,59,76.3220339
166172,35,64.2
166541,27,66.59259259
166983,3,72.66666667
167013,17,169.7058824
167017,16,98.0625
167222,11,102.5454545
167482,8,110.125
168084,53,146.6603774
168123,6,69.66666667
168546,23,84.08695652
168810,15,130.1333333
169002,32,76.09375
169152,24,82.95833333
169306,1,37
169464,0,0
169483,1,72
170420,14,94.14285714
170761,23,85.30434783
171776,23,84.08695652
172700,50,91.88
172870,38,89.57894737
173072,34,130.5
173151,24,93.83333333
173742,15,240.0666667
174527,28,63.82142857
174966,7,105.4285714
176135,14,73.21428571
176653,41,96.09756098
176962,65,77.89230769
177421,3,170
177495,14,125.2857143
177606,22,108.7727273
179670,22,119.2727273
179741,45,119.0666667
180507,10,68.8
180792,10,68.8
181972,48,66.9375
182069,32,82.34375
182095,8,115.625
182177,0,0
182649,61,89.18032787
185266,59,84.76271186
187488,8,115.625
187566,18,50.27777778
187986,14,125.2857143
188146,70,96.74285714
188661,4,62.75
188674,23,118.4347826
189135,53,105.1886792
189181,15,124
189732,5,105.6
189787,12,68
190267,11,198
190542,68,156.4411765
190968,14,81.78571429
190974,4,77
191075,53,146.6603774
193105,4,132.25
193333,55,80.69090909
193393,12,67.33333333
193853,26,111.6538462
194154,10,87.5
195123,29,66.55172414
195233,22,58.40909091
195240,26,58.38461539
195578,10,60.4
195971,13,54.15384615
195989,10,77.2
196010,10,77.2
197155,98,110.2346939
197753,23,64.7826087
197942,21,73.80952381
199195,36,66.80555556
199312,36,77.30555556
200645,24,88.91666667
200955,41,96.09756098
201992,9,88.44444444
202273,30,59.2
203901,19,120.2631579
204065,19,71.94736842
204833,68,79.82352941
204959,29,94.03448276
205043,38,161.7368421
205485,19,133
205735,19,56.21052632
205867,27,89.92592593
206071,3,49
206316,7,76.42857143
206772,7,87.57142857
206957,0,0
